Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000623,"natural killer cell","IL10",cytokine,Negative,1,2.65
CL_0000624,"CD4-positive, alpha-beta T cell","CD40LG",cytokine,Positive,1,0.67
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","IL6",cytokine,Negative,1,2.7
CL_0000545,"T-helper 1 cell","IL17",cell,Positive,1,5.12
CL_0000738,"leukocyte","IFNG",cell,Positive,1,1.04
CL_0000775,"neutrophil","IL27",cytokine,Negative,1,11.99
CL_0000307,"tracheal epithelial cell","IL22",cytokine,Negative,1,1940.21
CL_0000235,"macrophage","CSF2",cytokine,Positive,1,1.39
CL_0000233,"platelet","IL6",cell,Positive,1,1.41
CL_0000625,"CD8-positive, alpha-beta T cell","LTA",cytokine,Positive,1,2.73
CL_0000583,"alveolar macrophage","CSF2",cytokine,Positive,1,7.07
CL_0000084,"T cell","CCL27",cytokine,Positive,1,3.96
CL_0000910,"cytotoxic T cell","IL12",cytokine,Positive,1,2.7
CL_0000235,"macrophage","IL1B",cell,Positive,1,5.62
CL_0000236,"B cell","IL2",cell,Positive,1,1.93
CL_0000911,"effector T cell","IL2",cell,Positive,1,3.46
CL_0000576,"monocyte","IFN1",cell,Positive,1,1.26
CL_0000236,"B cell","TNF",cell,Positive,1,0.59
CL_0000084,"T cell","PPBP",cytokine,Positive,1,0.11
CL_0000066,"epithelial cell","IL17A",cytokine,Positive,1,0.91
CL_0000763,"myeloid cell","CSF2",cytokine,Positive,1,9.28
CL_0000540,"neuron","IFNG",cell,Positive,1,0.89
CL_0000545,"T-helper 1 cell","IFNG",cell,Positive,1,5.01
CL_0000312,"keratinocyte","TGFB",cytokine,Negative,1,6.83
CL_0000775,"neutrophil","IL17",cell,Positive,1,1.97
CL_0000546,"T-helper 2 cell","IFNA",cytokine,Positive,1,0.39
CL_0000542,"lymphocyte","IL2",cytokine,Positive,1,3.23
CL_0000784,"plasmacytoid dendritic cell","IFNA",cytokine,Negative,1,7.58
CL_0000625,"CD8-positive, alpha-beta T cell","IL2",cytokine,Positive,1,0.99
CL_0000235,"macrophage","IFN1",cytokine,Positive,1,1.69
CL_0002368,"respiratory epithelial cell","IFNG",cytokine,Positive,1,0.64
CL_0000625,"CD8-positive, alpha-beta T cell","TNF",cytokine,Positive,1,0.1
CL_0000235,"macrophage","IL10",cell,Positive,1,2.87
CL_0000236,"B cell","IFNL3",cytokine,Negative,1,38.17
CL_0000451,"dendritic cell","IFNG",cell,Positive,1,2.15
CL_0002436,"mature CD4 single-positive thymocyte","CXCL12",cytokine,Negative,1,1951.05
CL_0000057,"fibroblast","IFNB1",cell,Positive,1,17.78
CL_0000775,"neutrophil","IFNG",cell,Positive,1,0.33
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","TGFB",cytokine,Positive,1,1.59
CL_0000899,"T-helper 17 cell","IFNA",cytokine,Positive,1,0.57
CL_0000738,"leukocyte","IL6",cell,Positive,1,1.75
CL_0000786,"plasma cell","IL6",cytokine,Positive,1,7.6
CL_0000625,"CD8-positive, alpha-beta T cell","IL13",cytokine,Positive,1,1.06
CL_0000235,"macrophage","HGF",cell,Positive,1,0.54
CL_0000815,"regulatory T cell","IFNL3",cytokine,Negative,1,619.22
CL_0000625,"CD8-positive, alpha-beta T cell","SPP1",cytokine,Positive,1,0.62
CL_0000235,"macrophage","IFNG",cell,Positive,1,1.92
